Poll_ID,Pollster,Date,n,Period,CDUCSU,SPD,Gruene,FDP,Linke,AfD,BSW
BT02170104O,Forsa,2017-01-04,2001,27.12.–30.12.,37,21,10,6,9,12,NA
BT01170105P,Infratest dimap,2017-01-05,1505,02.01.–04.01.,37,20,9,5,9,15,NA
BT03170107L,Verian,2017-01-07,834,03.01.–05.01.,38,22,10,5,9,12,NA
BT02170111P,Forsa,2017-01-11,2501,02.01.–06.01.,37,20,10,6,9,12,NA
BT03170114M,Verian,2017-01-14,1878,06.01.–11.01.,37,21,10,6,10,12,NA
BT02170118Q,Forsa,2017-01-18,2503,09.01.–13.01.,38,21,9,6,9,11,NA
BT03170121N,Verian,2017-01-21,2805,12.01.–18.01.,36,21,9,6,11,12,NA
BT02170125R,Forsa,2017-01-25,2504,16.01.–20.01.,37,21,10,6,9,12,NA
BT01170127Q,Infratest dimap,2017-01-27,1029,24.01.–25.01.,35,23,9,6,8,14,NA
BT03170128O,Verian,2017-01-28,1996,19.01.–25.01.,37,23,10,6,10,11,NA
BT02170201S,Forsa,2017-02-01,2502,23.01.–27.01.,35,26,8,6,9,11,NA
BT01170202R,Infratest dimap,2017-02-02,1506,30.01.–01.02.,34,28,8,6,8,12,NA
BT03170204P,Verian,2017-02-04,2233,26.01.–02.02.,33,29,8,6,8,11,NA
BT02170208T,Forsa,2017-02-08,2501,30.01.–03.02.,34,31,8,5,8,10,NA
BT03170211Q,Verian,2017-02-11,1966,02.02.–08.02.,33,32,7,6,8,10,NA
BT02170215U,Forsa,2017-02-15,2502,05.02.–10.02.,34,31,7,5,8,9,NA
BT03170218R,Verian,2017-02-18,1885,09.02.–15.02.,32,33,7,6,8,9,NA
BT02170222V,Forsa,2017-02-22,2502,13.02.–17.02.,34,31,7,6,8,8,NA
BT01170223S,Infratest dimap,2017-02-23,1047,20.02.–22.02.,31,32,8,6,7,11,NA
BT03170225S,Verian,2017-02-25,1880,16.02.–22.02.,32,32,7,7,8,9,NA
BT02170301W,Forsa,2017-03-01,2500,20.02.–24.02.,33,31,8,7,7,9,NA
BT03170304T,Verian,2017-03-04,1403,23.02.–01.03.,33,32,7,6,8,10,NA
BT02170308X,Forsa,2017-03-08,2502,27.02.–03.03.,33,32,8,6,7,8,NA
BT01170309T,Infratest dimap,2017-03-09,1502,06.03.–08.03.,32,31,8,6,8,11,NA
BT03170311U,Verian,2017-03-11,1882,02.03.–08.03.,33,33,7,6,8,8,NA
BT02170315Y,Forsa,2017-03-15,2505,06.03.–10.03.,33,32,7,6,7,9,NA
